Galaxy,D_Mpc,Rad_kpc,Vobs_kms,eVobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,Vbar_kms,M_dyn_Msun,M_visible_Msun,M_F_residual_Msun,M_F_residual_clamped_Msun,R_g_kms2_per_kpc,mass_discrepancy_D,V_baryon_only_kms,V_OFR_direct_residual_kms,V_pISO_kms,V_NFW_kms,V_Burkert_kms,V_MOND_like_kms
DDO154,4.04,0.49,13.8,1.6,3.74,12.31,0.0,15.93,0.0,9.473945851650198,21696710.696108505,10225805.352820683,11470905.343287822,11470905.343287822,205.47826530612255,2.1217605799746315,9.473945851650198,13.8,14.066014687846533,18.367214258150682,13.655912226529491,19.531839284844068
DDO154,4.04,0.99,21.6,0.8,7.46,14.55,0.0,5.52,0.0,12.70837715839438,107394574.63653043,37175346.96145701,70219227.67507342,70219227.67507342,308.13853535353536,2.8888654286905773,12.70837715839438,21.6,23.074326292484308,25.410796378297615,22.203111110099005,26.86904158908677
DDO154,4.04,1.48,28.9,0.7,10.87,12.95,0.0,1.26,0.0,14.212957116659432,287406804.606467,69513675.47798024,217893129.12848675,217893129.12848675,427.8390878378378,4.134536156090731,14.212957116659432,28.9,29.458724047458283,30.0598643856208,28.57772058671561,31.25157120294182
DDO154,4.04,1.97,34.3,0.5,13.32,11.54,0.0,0.29,0.0,15.620761825211982,538882538.8115538,111766150.41932985,427116388.39222395,427116388.39222395,473.34101522842633,4.821518293237686,15.620761825211982,34.3,34.36774564013113,33.90768827414468,33.77290599469079,35.094942212586886
DDO154,4.04,2.47,38.2,0.4,14.77,10.18,0.0,0.08,0.0,16.430736441194593,838037252.5814307,155042462.4091181,682994790.1723126,682994790.1723126,481.4861943319839,5.4052111889842225,16.430736441194593,38.2,37.98291017305518,37.03197429489385,37.736107767651895,37.96048109228809
DDO154,4.04,2.96,42.0,0.2,16.2,9.16,0.0,0.02,0.0,17.446856450375236,1214031449.158434,209491174.65838626,1004540274.5000477,1004540274.5000477,493.11054054054057,5.795143643345047,17.446856450375236,42.0,40.85353149070612,39.82575797374211,40.87775982166298,40.863599155183394
DDO154,4.04,3.46,44.6,0.2,17.6,8.37,0.0,0.01,0.0,18.56848001318363,1600241251.2700803,277375726.76480097,1322865524.5052793,1322865524.5052793,475.2518930635838,5.76921877748515,18.56848001318363,44.6,43.26438238588863,42.42197331580802,43.446625645529075,43.799819939469955
DDO154,4.04,3.95,46.3,0.2,17.91,7.77,0.0,0.0,0.0,18.733780985161538,1968786954.3887224,322320270.0126252,1646466684.3760972,1646466684.3760972,453.857075949367,6.108169847064241,18.733780985161538,46.3,44.84182416494343,44.3350220304012,45.06491604691511,45.350448893239154
DDO154,4.04,4.44,47.4,0.3,17.48,7.29,0.0,0.0,0.0,18.224227006926796,2319419471.6932,342863179.6526782,1976556292.0405219,1976556292.0405219,431.2246734234233,6.764854348147798,18.224227006926796,47.4,45.8696446654464,45.79823634177577,46.03545183263964,45.87956480434929
DDO154,4.04,4.94,48.2,0.6,16.93,6.89,0.0,0.0,0.0,17.617064170854345,2668459837.569259,356478766.819115,2311981070.750144,2311981070.750144,407.46539473684214,7.4856066782886215,17.617064170854345,48.2,46.685678419060345,47.125196861345536,46.70840685596362,46.16292160364446
DDO154,4.04,5.43,47.4,0.7,16.28,6.55,0.0,0.0,0.0,16.92600514002049,2836587326.8680353,361699919.2031454,2474887407.66489,2474887407.66489,361.0074309392265,7.842377551859201,16.92600514002049,47.400000000000006,47.303096001452644,48.281521743956475,47.11950505831441,46.179139133564114
DDO154,4.04,5.92,45.5,1.3,15.64,6.26,0.0,0.0,0.0,16.25433480644471,2849601595.9413247,363663533.531276,2485938062.4100485,2485938062.4100485,305.0754391891892,7.8358189183030955,16.25433480644471,45.5,47.816318083232815,49.35223060950024,47.37566180571522,46.10818782451106
