Galaxy,D_Mpc,Rad_kpc,Vobs_kms,eVobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,Vbar_kms,M_dyn_Msun,M_visible_Msun,M_F_residual_Msun,M_F_residual_clamped_Msun,R_g_kms2_per_kpc,mass_discrepancy_D,V_baryon_only_kms,V_OFR_direct_residual_kms,V_pISO_kms,V_NFW_kms,V_Burkert_kms,V_MOND_like_kms,V_OFR_power_law_kms,V_OFR_RAR_kms,V_OFR_fleet_kms
NGC3198,13.8,0.32,24.4,35.9,0.0,63.28,0.0,1084.92,0.0,44.74571711348473,44296486.092478104,148967856.5698887,-104671370.47741061,0.0,-4396.310000000001,0.2973560009014177,44.74571711348473,44.74571711348473,45.763500132832576,51.52287358437293,45.443194693730135,51.73487567172025,57.647703722047204,50.89538467113856,52.77521309533663
NGC3198,13.8,0.64,43.3,16.3,0.0,73.66,0.0,590.57,0.0,52.08548550220109,278994352.3579894,403694704.6090246,-124700352.25103521,0.0,-1309.3871875,0.6911023334531805,52.08548550220109,52.08548550220109,55.433853034692085,63.18048600281065,54.36063481726785,62.855748341356595,68.39735624784456,62.03946393657401,61.581306231513146
NGC3198,13.8,0.96,45.5,16.1,0.0,78.98,0.0,410.97,0.0,55.84729357811353,462097556.0985931,696169738.9622197,-234072182.8636266,0.0,-1092.3647916666669,0.6637713911372275,55.84729357811353,55.84729357811352,62.44530708579594,70.70754259408855,60.35436223631571,69.68407130389761,74.82148849929413,68.9309126436896,66.59056871514497
NGC3198,13.8,1.28,58.5,15.4,0.35,82.7,0.0,329.34,0.0,58.47877820201103,1018500735.8907766,1017761915.5016034,738820.3891732693,738820.3891732693,1.9394531249995453,1.0007259265432518,58.47877820201103,58.49999999999999,68.85430197344625,76.6725916627511,65.6764794657156,74.93706287183632,79.64574026662861,74.24097488903891,70.31193780111332
NGC3198,13.8,1.61,68.8,7.61,0.15,84.22,0.0,268.62,0.0,59.55272202007227,1771913013.7575538,1327604620.185031,444308393.5725229,444308393.5725229,737.2132298136639,1.3346692131205438,59.55272202007227,68.8,74.2550103163037,81.10740719319811,69.99864435354822,78.47514729495519,82.95111461597304,77.85633164689445,72.55911486398233
NGC3198,13.8,1.93,76.9,10.3,-0.05,83.17,0.0,247.67,0.0,58.81004973641835,2653686615.158188,1552029771.2577107,1101656843.9004772,1101656843.9004772,1272.0145336787566,1.7098168245881862,58.81004973641835,76.9,78.1324884355387,83.8124457689049,72.93891396184249,79.98574440748317,84.60494577917781,79.46539565267821,73.133203815733
NGC3198,13.8,2.24,82.0,8.09,-0.47,87.04,0.0,227.56,0.0,61.5447796323945,3501993764.1103864,1972741158.4990163,1529252605.61137,1529252605.61137,1310.8214732142853,1.7751917168773022,61.5447796323945,82.0,84.34608919446896,88.6097401347833,78.66660136532113,84.47912789130241,88.4124963122789,83.96032342242681,76.49285332992548
NGC3198,13.8,2.57,86.9,7.6,-0.95,88.91,0.0,205.02,0.0,62.861685866670804,4512449156.108824,2361265472.5395327,2151183683.569291,2151183683.569291,1400.7853891050586,1.9110300000514984,62.861685866670804,86.9,89.47311584792556,92.33505677355987,83.45787150048017,87.62239650623562,91.16316218396413,87.13455201921101,78.6650886292769
NGC3198,13.8,2.89,97.6,3.03,-1.43,88.98,0.0,200.2,0.0,62.90210886766834,6400842240.363087,2658691211.162289,3742151029.2007976,3742151029.2007976,1927.0189273356395,2.407516229598117,62.90210886766834,97.6,93.29238091806339,94.90483167836737,87.13463692346778,89.37979398853899,92.83867744928969,88.94126780580702,79.70139900802113
NGC3198,13.8,3.21,100.0,5.31,-1.14,93.81,0.0,208.58,0.0,66.32389049203914,7463536786.401018,3283104185.974596,4180432600.426422,4180432600.426422,1744.9039096573208,2.2733170693410245,66.32389049203914,100.0,99.07699449042626,99.53704590547997,93.137837359464,94.22728088810464,96.69737268547647,93.76448989849762,83.4527078905364
NGC3198,13.8,3.54,107.0,7.51,-0.39,101.22,0.0,208.47,0.0,71.57228583746644,9423461546.509928,4216311439.6720686,5207150106.837859,5207150106.837859,1787.1208757062147,2.23500129943979,71.57228583746644,107.00000000000001,105.83776204325994,105.29309653409632,100.34157778316747,100.76494800402291,101.78262541082559,100.23930345449835,88.69402157656894
